metric,mean,std,n_seeds
accuracy,0.7279304089349332,0.002395156230047977,3
precision,0.6541080967740485,0.0046298903197773324,3
recall,0.7279304089349332,0.002395156230047977,3
f1,0.6735768567598288,0.003020415443966959,3
mcc,0.7277492071053826,0.002400960299017413,3
cohen_kappa,0.7276622256288928,0.0023988326285441833,3
