metric,mean,std,n_seeds
accuracy,0.9123773304482766,0.001178579699786615,3
precision,0.9056153527743367,0.001610839938648201,3
recall,0.9123773304482766,0.001178579699786615,3
f1,0.9050197846268451,0.0011722299821076065,3
mcc,0.9122953588266508,0.0011799493317019552,3
cohen_kappa,0.9122855028201932,0.0011798776887861774,3
