metric,mean,std,n_seeds
accuracy,0.6766113697462461,0.0015903131382381502,3
precision,0.658108420210958,0.005983707014168025,3
recall,0.6766113697462461,0.0015903131382381502,3
f1,0.6501117113281969,0.003784254503264212,3
mcc,0.6763762560307999,0.0015917308238026981,3
cohen_kappa,0.6762522770043411,0.001593274684384188,3
